DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,419.45,421.85,413.55,417.35,420.0,419.95,417.99,486.85,319.0,1222303,510906745.7,15296,ZYDUSLIFE
2022-12-29,EQ,415.25,422.75,414.0,415.25,418.95,417.35,418.13,486.85,319.0,1298900,543110168.55,27805,ZYDUSLIFE
2022-12-28,EQ,420.55,420.85,414.35,419.3,415.4,415.25,416.47,486.85,319.0,518402,215899527.2,10656,ZYDUSLIFE
2022-12-27,EQ,423.0,423.0,417.15,420.75,419.0,419.3,420.09,486.85,319.0,547340,229929843.05,11586,ZYDUSLIFE
2022-12-26,EQ,421.0,423.35,416.15,420.3,420.5,420.75,419.41,486.85,319.0,762148,319655611.95,16027,ZYDUSLIFE
2022-12-23,EQ,423.5,430.0,418.9,423.55,420.2,420.3,423.63,486.85,319.0,2075717,879334213.05,31535,ZYDUSLIFE
2022-12-22,EQ,427.95,427.95,416.25,421.9,423.5,423.55,421.83,486.85,319.0,1770189,746724562.8,26346,ZYDUSLIFE
2022-12-21,EQ,410.6,426.0,410.3,411.35,423.3,421.9,421.24,486.85,319.0,2697599,1136346893.6,40655,ZYDUSLIFE
2022-12-20,EQ,406.55,412.5,404.75,409.25,410.55,411.35,408.39,486.85,319.0,789245,322320068.8,22485,ZYDUSLIFE
2022-12-19,EQ,407.9,411.4,404.6,407.9,408.05,409.25,408.99,486.85,319.0,758508,310222610.7,15557,ZYDUSLIFE
2022-12-16,EQ,408.0,410.4,404.6,408.6,407.4,407.9,407.63,486.85,319.0,647685,264012624.8,11953,ZYDUSLIFE
2022-12-15,EQ,411.0,412.85,406.65,410.4,408.75,408.6,410.55,486.85,319.0,585464,240360183.45,15170,ZYDUSLIFE
2022-12-14,EQ,407.3,412.0,406.55,406.3,411.2,410.4,409.84,486.85,319.0,735277,301348583.3,14090,ZYDUSLIFE
2022-12-13,EQ,405.0,408.15,404.1,405.85,407.0,406.3,406.07,486.85,319.0,377060,153114191.7,6416,ZYDUSLIFE
2022-12-12,EQ,408.95,410.3,403.2,407.75,405.5,405.85,405.77,486.85,319.0,771773,313162842.85,14279,ZYDUSLIFE
2022-12-09,EQ,412.9,414.7,405.0,412.05,407.0,407.75,409.29,486.85,319.0,443448,181499453.8,10803,ZYDUSLIFE
2022-12-08,EQ,405.1,413.0,404.6,405.25,412.35,412.05,409.81,486.85,319.0,545877,223706723.35,10426,ZYDUSLIFE
2022-12-07,EQ,410.3,413.15,404.6,410.15,405.0,405.25,407.08,486.85,319.0,594974,242201739.4,9534,ZYDUSLIFE
2022-12-06,EQ,413.0,414.35,408.0,413.45,408.5,410.15,410.3,486.85,319.0,391512,160637105.9,9966,ZYDUSLIFE
2022-12-05,EQ,418.1,418.1,410.65,415.5,413.5,413.45,413.62,486.85,319.0,596116,246563460.2,11046,ZYDUSLIFE
2022-12-02,EQ,410.4,416.5,409.2,411.15,414.0,415.5,413.65,486.85,319.0,740978,306508074.0,11109,ZYDUSLIFE
2022-12-01,EQ,413.0,414.35,408.35,409.9,410.0,411.15,411.85,486.85,319.0,607933,250376787.65,12156,ZYDUSLIFE
2022-11-30,EQ,407.4,410.95,404.25,405.35,408.7,409.9,408.6,486.85,319.0,972357,397305410.65,14496,ZYDUSLIFE
2022-11-29,EQ,400.85,408.5,400.0,399.95,405.35,405.35,405.99,486.85,319.0,756275,307042064.3,13778,ZYDUSLIFE
2022-11-28,EQ,404.15,404.95,398.95,402.1,400.0,399.95,401.58,486.85,319.0,601071,241378804.1,14778,ZYDUSLIFE
2022-11-25,EQ,395.0,404.0,392.4,393.0,401.8,402.1,399.76,486.85,319.0,1577153,630474858.7,17487,ZYDUSLIFE
2022-11-24,EQ,395.05,396.6,390.6,394.05,393.25,393.0,393.2,486.85,319.0,954533,375317759.3,12897,ZYDUSLIFE
2022-11-23,EQ,392.25,395.35,390.85,392.25,393.55,394.05,392.8,486.85,319.0,771815,303170497.2,12152,ZYDUSLIFE
2022-11-22,EQ,395.2,397.9,390.0,397.1,391.95,392.25,392.3,486.85,319.0,1330083,521795544.15,22073,ZYDUSLIFE
2022-11-21,EQ,401.0,401.4,395.05,401.5,396.3,397.1,397.52,486.85,319.0,654445,260158060.8,16395,ZYDUSLIFE
2022-11-18,EQ,408.4,410.0,400.25,408.4,401.0,401.5,404.69,498.0,319.0,899247,363918474.6,11437,ZYDUSLIFE
2022-11-17,EQ,416.8,418.5,407.05,415.05,407.75,408.4,410.18,498.0,319.0,803454,329563296.65,16365,ZYDUSLIFE
2022-11-16,EQ,416.9,419.45,413.0,416.75,416.2,415.05,415.61,498.0,319.0,586968,243949614.95,10620,ZYDUSLIFE
2022-11-15,EQ,423.8,425.7,414.05,423.8,416.5,416.75,416.82,498.0,319.0,940631,392077217.25,18013,ZYDUSLIFE
2022-11-14,EQ,423.85,425.6,411.8,429.45,423.5,423.8,420.47,498.0,319.0,1245780,523814382.15,29150,ZYDUSLIFE
2022-11-11,EQ,435.65,445.25,421.3,433.8,427.9,429.45,434.0,509.95,319.0,3680644,1597404261.55,52043,ZYDUSLIFE
2022-11-10,EQ,448.4,454.05,423.45,448.4,435.65,433.8,439.67,509.95,319.0,1876942,825233468.4,31583,ZYDUSLIFE
2022-11-09,EQ,451.05,453.45,445.05,451.05,448.0,448.4,449.57,509.95,319.0,1414308,635824024.35,17491,ZYDUSLIFE
2022-11-07,EQ,447.2,453.95,441.25,440.1,450.95,451.05,448.98,509.95,319.0,2410897,1082442337.0,36363,ZYDUSLIFE
2022-11-04,EQ,440.85,441.0,434.55,438.65,440.1,440.1,439.26,509.95,319.0,1099357,482906900.15,19574,ZYDUSLIFE
2022-11-03,EQ,437.15,440.0,432.5,437.15,439.05,438.65,436.24,509.95,319.0,824790,359804036.3,24762,ZYDUSLIFE
2022-11-02,EQ,433.35,442.15,432.4,433.05,436.8,437.15,437.69,509.95,319.0,1732032,758086143.8,26166,ZYDUSLIFE
2022-11-01,EQ,435.55,438.8,429.8,433.35,431.5,433.05,433.51,509.95,319.0,1391203,603098679.25,33087,ZYDUSLIFE
2022-10-31,EQ,432.0,443.0,431.85,430.0,432.9,433.35,436.96,509.95,319.0,2059627,899976460.6,64975,ZYDUSLIFE
2022-10-28,EQ,435.8,437.0,428.6,433.6,428.6,430.0,432.06,514.8,319.0,1470279,635250725.6,30432,ZYDUSLIFE
2022-10-27,EQ,419.5,434.9,416.6,417.4,434.0,433.6,428.14,514.8,319.0,2744073,1174836700.6,33549,ZYDUSLIFE
2022-10-25,EQ,414.0,420.35,410.4,413.1,417.75,417.4,415.85,514.8,319.0,870687,362076806.75,13620,ZYDUSLIFE
2022-10-24,EQ,415.8,417.35,412.0,410.15,414.0,413.1,413.81,514.8,319.0,171701,71052096.9,6355,ZYDUSLIFE
2022-10-21,EQ,414.3,416.1,408.85,414.3,410.0,410.15,411.06,546.0,319.0,459263,188782961.45,9985,ZYDUSLIFE
2022-10-20,EQ,409.75,415.9,408.65,410.25,414.0,414.3,413.33,546.0,319.0,452554,187053507.9,11343,ZYDUSLIFE
2022-10-19,EQ,415.55,418.75,409.75,415.55,410.0,410.25,411.98,546.0,319.0,988434,407218964.0,22830,ZYDUSLIFE
2022-10-18,EQ,420.95,421.85,412.25,418.85,415.4,415.55,415.56,546.0,319.0,631852,262573687.35,15426,ZYDUSLIFE
2022-10-17,EQ,412.9,422.0,408.65,411.85,419.0,418.85,417.76,546.0,319.0,1270454,530738971.05,30817,ZYDUSLIFE
2022-10-14,EQ,419.95,421.8,410.45,414.75,411.5,411.85,415.03,557.0,319.0,835504,346755173.85,14800,ZYDUSLIFE
2022-10-13,EQ,420.6,423.7,412.9,420.6,415.6,414.75,417.18,557.0,319.0,612113,255363764.35,13615,ZYDUSLIFE
2022-10-12,EQ,418.0,422.9,412.15,415.9,422.9,420.6,417.68,557.0,319.0,1014645,423796440.2,19727,ZYDUSLIFE
2022-10-11,EQ,425.25,426.85,414.0,425.2,414.25,415.9,420.2,557.0,319.0,1330825,559208760.45,38773,ZYDUSLIFE
2022-10-10,EQ,419.95,426.9,416.6,422.0,425.0,425.2,423.2,557.0,319.0,1379160,583657713.8,23379,ZYDUSLIFE
2022-10-07,EQ,420.0,426.0,417.2,423.25,422.7,422.0,422.32,573.2,319.0,1928901,814618975.3,26706,ZYDUSLIFE
2022-10-06,EQ,420.0,427.95,418.55,419.9,423.0,423.25,423.7,573.2,319.0,2923167,1238538633.95,44333,ZYDUSLIFE
2022-10-04,EQ,414.0,421.5,405.7,409.35,419.1,419.9,415.13,573.2,319.0,4337423,1800596411.4,52202,ZYDUSLIFE
2022-10-03,EQ,388.8,415.05,388.0,386.9,409.5,409.35,405.31,573.2,319.0,8017627,3249656459.5,98157,ZYDUSLIFE
2022-09-30,EQ,384.8,388.2,380.75,382.85,387.15,386.9,385.02,573.2,319.0,1888135,726965002.0,38637,ZYDUSLIFE
2022-09-29,EQ,370.75,386.9,370.0,369.15,382.5,382.85,381.34,573.2,319.0,6548772,2497311033.85,78511,ZYDUSLIFE
2022-09-28,EQ,360.0,373.5,357.2,360.35,368.15,369.15,368.81,573.2,319.0,1975799,728699009.9,32653,ZYDUSLIFE
2022-09-27,EQ,358.15,361.8,354.1,356.35,361.55,360.35,359.01,573.2,319.0,720383,258626532.55,13055,ZYDUSLIFE
