DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,778.0,782.3,765.0,776.1,772.0,766.95,771.88,861.15,650.2,715796,552506235.3,30964,TATACONSUM
2022-12-29,EQ,779.0,779.0,763.1,780.15,776.05,776.1,769.32,861.15,650.2,1691955,1301654896.95,49574,TATACONSUM
2022-12-28,EQ,778.0,782.9,773.15,777.85,780.0,780.15,778.89,861.15,650.2,610240,475309723.85,24574,TATACONSUM
2022-12-27,EQ,778.8,781.0,770.6,775.3,777.7,777.85,775.42,861.15,650.2,601101,466104451.1,28453,TATACONSUM
2022-12-26,EQ,779.0,783.7,773.0,779.0,775.75,775.3,776.27,861.15,650.2,1014226,787314187.05,43288,TATACONSUM
2022-12-23,EQ,793.05,797.9,775.8,798.65,780.15,779.0,784.37,861.15,650.2,1216647,954295402.45,51177,TATACONSUM
2022-12-22,EQ,802.75,809.0,787.0,802.6,797.15,798.65,796.64,861.15,650.2,1017965,810949218.5,31667,TATACONSUM
2022-12-21,EQ,809.0,811.9,801.0,808.3,802.6,802.6,806.27,861.15,650.2,811513,654302487.9,30312,TATACONSUM
2022-12-20,EQ,808.5,809.95,800.1,808.85,807.7,808.3,804.75,861.15,650.2,677159,544946893.05,21725,TATACONSUM
2022-12-19,EQ,801.15,810.0,798.45,801.55,807.05,808.85,804.69,861.15,650.2,1120217,901431575.3,38718,TATACONSUM
2022-12-16,EQ,803.3,804.95,795.0,804.9,802.55,801.55,801.22,861.15,650.2,849333,680501342.05,29839,TATACONSUM
2022-12-15,EQ,815.4,815.45,802.05,815.45,803.0,804.9,806.9,861.15,650.2,783051,631845876.55,32265,TATACONSUM
2022-12-14,EQ,808.4,817.0,807.35,807.6,813.1,815.45,812.6,861.15,650.2,971275,789253255.55,30384,TATACONSUM
2022-12-13,EQ,812.0,814.45,804.7,810.05,806.8,807.6,810.09,861.15,650.2,1224742,992157231.8,36060,TATACONSUM
2022-12-12,EQ,803.0,813.0,799.2,803.3,811.15,810.05,807.11,861.15,650.2,948219,765318959.95,36433,TATACONSUM
2022-12-09,EQ,804.2,809.9,801.0,804.2,802.0,803.3,805.93,861.15,650.2,1080966,871185473.7,33000,TATACONSUM
2022-12-08,EQ,800.55,807.95,796.5,799.35,803.2,804.2,804.03,861.15,650.2,805216,647414366.35,26232,TATACONSUM
